Sample	Genotype	Region	Country	Date	Host	D13	PinfSSR8	PinfSSR4	Pi04	Pi70	PinfSSR6	Pi63	PiG11	Pi02	PinfSSR11	PinfSSR2	Pi4B	Missing	Present
Italy_31	EU_23_A1	Europe	Italy	6/19/2018	S_tuberosum	136/206/0	260/266/0	288/294/296	170/170/0	192/192/0	244/244/0	270/279/0	142/156/204	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_32	Unknown	Europe	Italy	6/26/2018	S_tuberosum	136/136/0	264/264/0	292/294/0	166/170/0	192/192/0	242/244/0	279/279/0	142/156/0	258/268/0	341/355/0	173/173/0	205/213/0	0	12
Italy_37	EU_23_A1	Europe	Italy	7/3/2018	S_lycopersicum	136/210/0	260/266/0	288/296/300	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_38	EU_23_A1	Europe	Italy	7/3/2018	S_lycopersicum	136/210/0	260/260/0	288/296/300	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_39	EU_23_A1	Europe	Italy	7/3/2018	S_lycopersicum	136/210/0	260/266/0	288/296/298	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_4	EU_13_A2	Europe	Italy	3/28/2018	S_lycopersicum	132/132/0	260/266/0	284/294/296	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/272/0	341/341/0	173/173/0	205/213/0	0	12
Italy_40	EU_23_A1	Europe	Italy	7/3/2018	S_lycopersicum	136/210/0	260/266/0	288/296/298	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_41	EU_23_A1	Europe	Italy	8/1/2018	S_lycopersicum	136/136/0	260/260/0	288/296/298	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_42	EU_23_A1	Europe	Italy	8/1/2018	S_lycopersicum	134/134/0	260/260/0	288/296/298	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_43	EU_23_A1	Europe	Italy	8/1/2018	S_lycopersicum	136/152/210	260/260/0	288/298/0	170/170/0	192/192/0	244/244/0	270/279/0	142/156/210	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_45	EU_23_A1	Europe	Italy	8/1/2018	S_lycopersicum	136/210/0	260/266/0	288/298/0	170/170/0	192/192/0	244/244/0	270/279/0	142/156/210	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_46	EU_23_A1	Europe	Italy	6/21/2018	S_lycopersicum	144/150/208	264/264/0	296/300/0	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_47	EU_23_A1	Europe	Italy	6/27/2018	S_lycopersicum	136/212/0	260/266/0	288/296/298	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
