Sample	Genotype	Region	Country	Date	Host	D13	PinfSSR8	PinfSSR4	Pi04	Pi70	PinfSSR6	Pi63	PiG11	Pi02	PinfSSR11	PinfSSR2	Pi4B	Missing	Present
PJU013	EC_1	S_America	Peru	2013	S_chrysotrichum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU013-FTA	EC_1	S_America	Peru	2016	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU014-FTA	EC_1	S_America	Peru	2016	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU016	EC_1	S_America	Peru	2013	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU018	EC_1	S_America	Peru	2013	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU019	EC_1	S_America	Peru	2013	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU021	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/290/304	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/270	331/355/0	173/175/0	204/213/217	0	12
PJU022	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/0	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU023	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/0	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU024	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/0	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU025	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU026	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU027	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU028	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	270/270/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU029	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	270/270/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU030	EC_1	S_America	Peru	2017	S_tuberosum	136/138/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	270/279/0	156/156/0	268/270/0	331/355/0	173/175/0	204/209/217	0	12
PJU031	EC_1	S_America	Peru	2017	S_tuberosum	136/138/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/270/0	331/355/0	173/175/0	204/209/217	0	12
PJU032	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	270/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU033	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU034	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	264/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU035	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU036	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/0	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU043-FTA	EC_1	S_America	Peru	2017	S_tuberosum	128/136/0	264/266/0	284/292/300	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/272	331/355/0	173/175/0	204/213/217	0	12
PJU044-FTA	EC_1	S_America	Peru	2017	S_tuberosum	128/136/0	264/266/0	284/292/300	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/272	331/355/0	173/175/0	204/213/217	0	12
PJU045-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/0	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU046-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/302	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU048-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/0	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU049-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/0	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU050-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/0	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU051-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/0	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU052-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/290/300	166/170/0	192/192/0	242/244/0	270/279/0	156/156/0	266/268/270	331/355/0	173/175/0	204/213/217	0	12
PJU053-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU054-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU055-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU056-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/272/0	331/355/0	173/175/0	204/209/217	0	12
PJU057-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU059-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PJU060-FTA	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PLI001	EC_1	S_America	Peru	1999	S_cantense	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLI002	EC_1	S_America	Peru	1999	S_medians	134/134/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLI004	EC_1	S_America	Peru	1999	S_wittmackii	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLI006	EC_1	S_America	Peru	1999	S_hypacrarthrum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLI014	EC_1	S_America	Peru	1999	S_peruvianum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	355/355/0	173/175/0	204/213/221	0	12
PLI027	EC_1	S_America	Peru	2000	S_medians	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLI039	EC_1	S_America	Peru	2000	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLI041	EC_1	S_America	Peru	2000	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLI056	EC_1	S_America	Peru	2000	S_hypacrarthrum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLI059	EC_1	S_America	Peru	2000	S_habrochaites	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLL001	EC_1	S_America	Peru	1999	S_sogarandinum	136/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/213/217	0	12
PLL001-FTA	EC_1	S_America	Peru	2016	S_tuberosum	134/136/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PLL002	EC_1	S_America	Peru	1999	S_sogarandinum	136/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLL002-FTA	EC_1	S_America	Peru	2016	S_tuberosum	136/136/0	264/266/0	284/294/0	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLL003	EC_1	S_America	Peru	1999	S_sogarandinum	136/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLL003-FTA	EC_1	S_America	Peru	2016	S_tuberosum	136/136/0	264/266/0	284/294/0	166/170/0	192/192/0	242/244/0	279/279/0	154/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLL004	EC_1	S_America	Peru	1999	S_tuberosum	136/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	152/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLL004-FTA	EC_1	S_America	Peru	2016	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PLL005-FTA	EC_1	S_America	Peru	2016	S_tuberosum	140/140/0	264/266/0	284/294/300	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL006-FTA	EC_1	S_America	Peru	2016	S_tuberosum	140/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL007-FTA	EC_1	S_America	Peru	2016	S_tuberosum	140/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	270/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL008-FTA	EC_1	S_America	Peru	2016	S_tuberosum	136/136/0	264/266/0	284/294/0	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLL009-FTA	EC_1	S_America	Peru	2016	S_tuberosum	140/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL010-FTA	EC_1	S_America	Peru	2016	S_tuberosum	140/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL011-FTA	EC_1	S_America	Peru	2016	S_tuberosum	136/138/140	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/0	0	12
PLL012-FTA	EC_1	S_America	Peru	2016	S_tuberosum	140/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL013-FTA	EC_1	S_America	Peru	2016	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PLL014-FTA	EC_1	S_America	Peru	2016	S_tuberosum	136/142/144	264/266/0	284/294/298	166/170/0	192/192/0	242/244/0	270/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL015-FTA	EC_1	S_America	Peru	2016	S_tuberosum	140/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	270/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL016-FTA	EC_1	S_America	Peru	2016	S_tuberosum	140/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL017-FTA	EC_1	S_America	Peru	2016	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PLL018-FTA	EC_1	S_America	Peru	2016	S_tuberosum	140/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL019-FTA	EC_1	S_America	Peru	2016	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PLL020-FTA	EC_1	S_America	Peru	2016	S_tuberosum	140/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL021-FTA	EC_1	S_America	Peru	2016	S_tuberosum	140/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL022-FTA	EC_1	S_America	Peru	2016	S_tuberosum	140/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL023-FTA	EC_1	S_America	Peru	2016	S_tuberosum	140/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL024-FTA	EC_1	S_America	Peru	2016	S_tuberosum	140/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL025-FTA	EC_1	S_America	Peru	2016	S_tuberosum	136/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL027	EC_1	S_America	Peru	1999	S_chomatophilum	136/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLL031	EC_1	S_America	Peru	1999	S_tuberosum	136/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLL040	EC_1	S_America	Peru	1999	S_habrochaites	136/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLL041	EC_1	S_America	Peru	1999	S_mochiquense	136/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLL050	EC_1	S_America	Peru	1999	S_caripense	136/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLL053	EC_1	S_America	Peru	2013	S_tuberosum	136/136/0	264/266/0	284/294/296	166/170/0	192/192/0	244/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLL054	EC_1	S_America	Peru	2013	S_tuberosum	136/136/0	264/266/0	284/294/296	166/170/0	192/192/0	244/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLL056	EC_1	S_America	Peru	2013	S_tuberosum	136/136/0	266/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	355/355/0	173/175/0	213/217/0	0	12
PLL057	EC_1	S_America	Peru	2013	S_tuberosum	136/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL058	EC_1	S_America	Peru	2013	S_tuberosum	136/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL059	EC_1	S_America	Peru	2013	S_tuberosum	136/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL061	EC_1	S_America	Peru	2016	S_tuberosum	134/136/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PLL062	EC_1	S_America	Peru	2016	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PLL063	EC_1	S_America	Peru	2016	S_tuberosum	140/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL064	EC_1	S_America	Peru	2016	S_tuberosum	136/136/0	264/266/0	284/294/0	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PLL065	EC_1	S_America	Peru	2016	S_tuberosum	140/140/0	264/266/0	284/294/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL067	EC_1	S_America	Peru	2016	S_tuberosum	140/140/0	264/266/0	284/294/300	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/213/221	0	12
PLL068	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/298	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PLL069	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PLL070	EC_1	S_America	Peru	2017	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
POX067	EC_1	S_America	Peru	2000	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/213/217	0	12
POX143	EC_1	S_America	Peru	2008	S_chiquidenum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/213/217	0	12
POX144	EC_1	S_America	Peru	2008	S_bulbocastanum_X_S_tuberosum	134/136/0	264/266/0	284/292/300	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/213/217	0	12
POX169	EC_1	S_America	Peru	2008	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PPA001	EC_1	S_America	Peru	1998	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PPA002	EC_1	S_America	Peru	1998	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PPA008	EC_1	S_America	Peru	1998	S_tuberosum	134/136/0	264/266/0	284/294/0	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PPA032	EC_1	S_America	Peru	1998	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PPA033	EC_1	S_America	Peru	1998	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	270/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PPA039	EC_1	S_America	Peru	2010	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PPA040	EC_1	S_America	Peru	2010	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PPA045	EC_1	S_America	Peru	2013	S_tuberosum	136/144/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PPA055	EC_1	S_America	Peru	2013	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/213/217	0	12
PPA056	EC_1	S_America	Peru	2013	S_tuberosum	136/136/0	264/266/0	284/292/298	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/213/217	0	12
PPA058	EC_1	S_America	Peru	2013	S_tuberosum	136/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PPA059	EC_1	S_America	Peru	2013	S_tuberosum	136/140/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/213/217	0	12
PPA073	EC_1	S_America	Peru	2013	S_tuberosum	136/136/0	264/266/0	282/286/0	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PPA074	EC_1	S_America	Peru	2013	S_tuberosum	134/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/175/0	204/213/217	0	12
PPA076	EC_1	S_America	Peru	2013	S_tuberosum	136/136/0	264/266/0	284/292/296	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	266/268/0	331/355/0	173/173/0	213/217/0	0	12
PPA078	EC_1	S_America	Peru	2013	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PPA079	EC_1	S_America	Peru	2013	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PPA081	EC_1	S_America	Peru	2013	S_tuberosum	132/140/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PPA082	EC_1	S_America	Peru	2013	S_tuberosum	134/134/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PPA083	EC_1	S_America	Peru	2013	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PPA085	EC_1	S_America	Peru	2013	S_tuberosum	134/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/209/217	0	12
PPI001-FTA	EC_1	S_America	Peru	2016	S_tuberosum	136/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PPI002-FTA	EC_1	S_America	Peru	2016	S_tuberosum	136/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PPI003-FTA	EC_1	S_America	Peru	2016	S_tuberosum	136/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PPI004-FTA	EC_1	S_America	Peru	2016	S_tuberosum	136/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PPI005-FTA	EC_1	S_America	Peru	2016	S_tuberosum	136/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PPI006	EC_1	S_America	Peru	2000	S_habrochaites	134/136/0	264/266/0	284/292/298	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PPI006-FTA	EC_1	S_America	Peru	2016	S_tuberosum	136/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
PPI008-FTA	EC_1	S_America	Peru	2016	S_tuberosum	136/136/0	264/266/0	284/292/294	166/170/0	192/192/0	242/244/0	279/279/0	156/156/0	268/268/0	331/355/0	173/175/0	204/213/217	0	12
